blockNumber,id,indexer,logIndex,tokens
11520130,0xb9afb01417c0f363b779446dd59b317ba8aafd8d598d6510eaa095e2109bace8-158,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,158,1243612000000000000000000
11612930,0x4d45b9b55fae6f9305c6733aedd208914ad00da18c63de9fc154712292bda364-38,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,38,6992278838280839213400
11619568,0x8c193b0afb64e8d6151247700474b4eb884bafeedf30bc62bfecd73f808c65ae-229,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,229,7412390565199642429400
11665114,0x986488a6d35c389eba4e184712a0535a96139b8b9374e1827257df50ad11cc1c-215,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,215,314500799690706457
11856317,0x771bd4c4b9754823b176a07873f3608dd97bf598274869a253ae1eaaf8476c60-233,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,233,9556847374872508219000
11856325,0x3e9f98ad11aa76d3cd6ed3f922c0ba440a175e7af34848eddcdde4607ab29425-103,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,103,10360487389770169927000
12299918,0xfacd404c5849d43255f5bf4d0ae80ddad906f5acac851e2bc8694b2c97eeace1-199,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,199,23772682490475838525600
12315284,0xb3b43204f81520dea22459885ac6b94e7de880808012ec53f3c13964bf5f1d31-286,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,286,781892419941371744000
