type,blockNumber,delegator,id,indexer,logIndex,shares,tokens
stakeDelegates,11598143,0x891e5bc28686b705b2c7c65d85ec75f75165dc19,0x0069e172ce6cfc92857c8a0e4b98d74b653e2eee14572177db925c91b838a973-105,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,105,1282001115438764767655,1301494086978650000000
stakeDelegates,11607533,0x1dd83f87ec9e2041c3eee8c7fba5653859ea463b,0x005065c1264b85a2212db21d06865306fd2db15b06aab5c4d2dbc213c77256a7-176,0x720a98087160bfdb282f695abe6f9ac966b03d43,176,4985640538622521835141,4988170482182450000000
stakeDelegates,11607533,0x1dd83f87ec9e2041c3eee8c7fba5653859ea463b,0x005065c1264b85a2212db21d06865306fd2db15b06aab5c4d2dbc213c77256a7-176,0x720a98087160bfdb282f695abe6f9ac966b03d43,176,4985640538622521835141,4988170482182450000000
stakeDelegates,11619377,0xae72cd5aaa6ee56126c188ed0a2a333b33f8e04d,0x01a288ba2fb85bd8febdb21d52997cb143d9ff06cd74cb81239f6e558fa9c6e2-251,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,251,6872104880389220235127,6965000000000000000000
stakeDelegates,11624845,0x3967f6de8a5a91fd0e34ebeb020593793e97e44b,0x0101fe07eac8e2e0adc9cc05f83b175c776229b383db95e2be038ca4da763511-273,0x03db85e86779febdd96d96ba43ac48382fb1a88d,273,4896115049586856311536,4975000000000000000000
stakeDelegates,11624845,0x3967f6de8a5a91fd0e34ebeb020593793e97e44b,0x0101fe07eac8e2e0adc9cc05f83b175c776229b383db95e2be038ca4da763511-273,0x03db85e86779febdd96d96ba43ac48382fb1a88d,273,4896115049586856311536,4975000000000000000000
stakeDelegates,11627697,0x6c8e4d6f376336871821dbe369bfe444fdd1fc99,0x00a90143e6793289cf4105fa19792c3770dfce14915b529e4f09711d1aedeb67-70,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,70,387100637477575919618,398995000000000000000
stakeDelegates,11627697,0x6c8e4d6f376336871821dbe369bfe444fdd1fc99,0x00a90143e6793289cf4105fa19792c3770dfce14915b529e4f09711d1aedeb67-70,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,70,387100637477575919618,398995000000000000000
stakeDelegates,11647562,0x36afba6c5dc98f6edd14470ce40691ac1b53ceab,0x00819bba17bdac4e2af9bd4050b1c23d3e8b07ab0919073b4bb0787cdbe284cd-174,0x03db85e86779febdd96d96ba43ac48382fb1a88d,174,693441369116394611481,708108054338650000000
stakeDelegates,11647562,0x36afba6c5dc98f6edd14470ce40691ac1b53ceab,0x00819bba17bdac4e2af9bd4050b1c23d3e8b07ab0919073b4bb0787cdbe284cd-174,0x03db85e86779febdd96d96ba43ac48382fb1a88d,174,693441369116394611481,708108054338650000000
