blockNumber,id,indexer,indexingRewardCut,queryFeeCut
11520130,0xb9afb01417c0f363b779446dd59b317ba8aafd8d598d6510eaa095e2109bace8-157,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,1000000,1000000
11520152,0x774b5679cb78818bbb37eb9f45acbae6efdf66743a205e6f7401040a576691b8-229,0xfb5b40098cdfec1564ae5b94d4deed116b887d08,890000,890000
