allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount
,11476789,,0x431300ec6fa7c6936a1656f85bf75db40f97f64ddae41ab27be18ed445971820-219,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,219,,24875000000000000000,stakeDelegateds,,,,,,0xb6ad6f1e372ce48beeecce0580fc03a76eea5249,24875000000000000000,,,,,,
,11476833,,0x2cce144bc10722bcf377412a7047bd4df29831251b56a366fce3a268e83bdd33-76,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,76,,9950000000000000000000,stakeDelegateds,,,,,,0x46917890a173a6c119f172aac9bf65a2e9a2e6a7,9950000000000000000000,,,,,,
,11476942,,0xe15095e62324c9dee083975243bf571c74782e10add3a18abb8e93d91d9efed5-282,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,282,,11552945000000000000000,stakeDelegateds,,,,,,0xb73f819a15b979c5b4af2dcf1b2817bd073eda64,11552945000000000000000,,,,,,
,11477175,,0x737c1840e02d11135232bf7c11eabf71ef7e0204b0154334508d5b08b887f89f-260,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,260,,132706115100000000000000,stakeDelegateds,,,,,,0x13c0dabeb938c21524c59cdc40bcb6fdb3618754,132706115100000000000000,,,,,,
,11477210,,0x837f3e5001ae75b02401f225d848d9c8c84cfd96da9752ff62cc9f18733e22ab-94,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,94,,2487500000000000000000,stakeDelegateds,,,,,,0x5f3cb118b93237b2b0ec7205ec43807e5d4d63e6,2487500000000000000000,,,,,,
,11477234,,0x0d9dca553ffa90476e1e0af918fda92b4986699e608e0d9a3c859b9db6ea06bf-94,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,94,,96816288431287805084285,stakeDelegateds,,,,,,0x4e58b97ce2c9a687ff6df2ba7f8f7217ad44327d,96816288431287805084285,,,,,,
,11477441,,0x020f744549a282dadb882112879eafe323e8ea3dc3b3d76d1b118b9c4c7c348f-216,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,216,,497500000000000000000,stakeDelegateds,,,,,,0xe0ddee528856195af906eb5c7645ddcb6dbbe1c0,497500000000000000000,,,,,,
,11477548,,0x205b5d4465c3c020e13aa10843ae4c6a30f4ea326b2cb0df7e6a89dce5d9fc45-288,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,288,,895500000000000000000,stakeDelegateds,,,,,,0xcff76a3c6904456e71c40398b09bc70d3926fa6b,895500000000000000000,,,,,,
,11477638,,0x69bbf2a6daf3f0215da25f0b0d967ff41a413e07d7598b411070422109da2797-206,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,206,,66354560000000000000000,stakeDelegateds,,,,,,0x9b921fad875b06183d3992a125026c89915d71f6,66354560000000000000000,,,,,,
,11477704,,0x79ae28ed0614f7013db2a7afac3086e0f92659b02b2dee056a0a5338c41d4cd8-202,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,202,,28387350000000000000,stakeDelegateds,,,,,,0x9520b26f843414a59d57775a2046acb2bdd2020f,28387350000000000000,,,,,,
,11477706,,0x183833a8c566545a3f0e711f6b83ac2ca60ab0ca4388f8352cef4f7f44ea8122-202,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,202,,33167330000000000000000,stakeDelegateds,,,,,,0xd1818a80dac94fa1db124b9b1a1bb71dc20f228d,33167330000000000000000,,,,,,
