allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward
,13255908,,0x6c48893318f254f5e61896be94fbcb13e114425904c6884701807a41ebbfeb86-236,0xd133fd8e0607f5d82c91626140495ea0a31d0398,236,,8333312500000000000000,stakeDelegatedWithdrawns,,,,,,0x5b262e25b91ef437fcdaa2d4c57d235fe97769eb,,,,,,,,
,13255917,,0x4b7f07ab09c2809fbaa93674cabde6e528705cddc27f0c9d1babd805cbd7802c-174,0xd133fd8e0607f5d82c91626140495ea0a31d0398,174,,8333312500000000000000,stakeDelegatedWithdrawns,,,,,,0xeac90efbe731ce2d3d6f4b4802436932b387288e,,,,,,,,
,13255936,,0xd60bcba42c399232b5b930d4660808a37839e72ba5c5e600076ad628aaadf36f-444,0xd133fd8e0607f5d82c91626140495ea0a31d0398,444,,10416625000000000000000,stakeDelegatedWithdrawns,,,,,,0x7a6f26218cdd4c6ea5b9508d2547820cbf2fe4a8,,,,,,,,
,13255952,,0x1128b1acee20af710eb0b36c20657b065bdd16f2c4f7e6884b344155d71b29c5-306,0xd133fd8e0607f5d82c91626140495ea0a31d0398,306,,8333312500000000000000,stakeDelegatedWithdrawns,,,,,,0x8e04217c6d273f3dcbea4ded800112b275c969f9,,,,,,,,
,13255967,,0xa41bb9a2be50883f5810d984d9521d1a0ed14e470034ae3809e9a15d7d873267-275,0xd133fd8e0607f5d82c91626140495ea0a31d0398,275,,8333312500000000000000,stakeDelegatedWithdrawns,,,,,,0xe591f3b673d5536123417ee88291355e39500b88,,,,,,,,
,13256000,,0x42eecca2949ec3ae452005d9b7d0a0c6167e3c7474d2cbfe9eab2d7d18ee7878-249,0xd133fd8e0607f5d82c91626140495ea0a31d0398,249,,10416625000000000000000,stakeDelegatedWithdrawns,,,,,,0xb43687c75549bec612735047e3dc7eace398815f,,,,,,,,
,13256046,,0xb253289ebc8953f0e25fb2fb21859852a296cf8797627daec210a17be84eff5e-538,0xd133fd8e0607f5d82c91626140495ea0a31d0398,538,,6250000000000000000000,stakeDelegatedWithdrawns,,,,,,0x8faba38edd4dd7cb115a0ab17b45d09a9f62b544,,,,,,,,
,13256434,,0xfa8ae75420c4922700c7f327e030d4d7417a3ebcc2d446ab1ef1ba6ecdee7dc4-65,0xd133fd8e0607f5d82c91626140495ea0a31d0398,65,,10416625000000000000000,stakeDelegatedWithdrawns,,,,,,0xf086ffa9b82a9e7a35ac8fec7c7642bde5cd2bb8,,,,,,,,
,13256445,,0x02be7f94e42b7667a5ee09187f0c7389a59c28ee1d275296f4509e1a906b61b5-366,0xd133fd8e0607f5d82c91626140495ea0a31d0398,366,,10416625000000000000000,stakeDelegatedWithdrawns,,,,,,0x93dde9b66cb8b5fa8454ee9c289e065a042bf903,,,,,,,,
,13256461,,0x3643019c6905261d9b5185e51b115fcf5def923e47c5e833f6c4b221a60f9311-329,0xd133fd8e0607f5d82c91626140495ea0a31d0398,329,,8333312500000000000000,stakeDelegatedWithdrawns,,,,,,0x17f3d60b6201fdb6306a5816afe9cafe1fcf5567,,,,,,,,
