allocationID,blockNumber,epoch,id,indexer,logIndex,subgraphDeploymentID,tokens,type,isDelegator,sender,curationFees,from,rebateFees,delegator,shares,eventTime,until,indexingRewardCut,queryFeeCut,delegationFees,amount,reward
,13025974,,0x7dcaf894102b1c5377a1fc5c9f4a849fff203898b720ed11ab12b24282eb00d8-194,0xd133fd8e0607f5d82c91626140495ea0a31d0398,194,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0xf80cbf2ff5b57c9b3fb7b49bebf2b6dfa3d679ee,8333312500000000000000,1628979716.0,265.0,,,,,
,13025980,,0x64fbf6e2294ed4bf88e27de6dede802a0e80f91e5f28cb86f25cb83366161430-375,0xd133fd8e0607f5d82c91626140495ea0a31d0398,375,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x23633a8a2e710a06f821c45c50956dcb99bdfc0c,8333312500000000000000,1628979803.0,265.0,,,,,
,13025982,,0x9da6cfc51f91783fc83040143a9caf9e4173eee71d0f695e4cf6cf9d603b7051-218,0xd133fd8e0607f5d82c91626140495ea0a31d0398,218,,10416625000000000000000,stakeDelegatedLockeds,,,,,,0x86da260db236c33133a44f96af9ac9beca069034,10416625000000000000000,1628979810.0,265.0,,,,,
,13025983,,0x2b8c9400896d5ececfc2c5eeb772058169cd02540c238b490cbdb48d2b66f3c6-248,0xd133fd8e0607f5d82c91626140495ea0a31d0398,248,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x1855292ad37f8bec1e95769563c025456f8002b9,8333312500000000000000,1628979818.0,265.0,,,,,
,13026000,,0xbd6f7727296b3a668af8fca435e0c361a1542ad09d77448d7232f0bedaf1e533-262,0xd133fd8e0607f5d82c91626140495ea0a31d0398,262,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0xe00f3f55b0d30467459ddf2846a60fbe76c5b8a3,8333312500000000000000,1628980053.0,265.0,,,,,
,13026000,,0x01111149706184f92d03c767f89e0063cec222c53753f55ddc649bd26f1e88ef-314,0xd133fd8e0607f5d82c91626140495ea0a31d0398,314,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0xd1127906ab50887f7ff199f9108a82b587801eb9,6250000000000000000000,1628980053.0,265.0,,,,,
,13026000,,0xa24cb8ede09e3e67020774bb78d5911109ee91c42f5daa1b64ec795a16301f44-346,0xd133fd8e0607f5d82c91626140495ea0a31d0398,346,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x521d5930955f4023e220c604b55d0a3a0ed43ce6,8333312500000000000000,1628980053.0,265.0,,,,,
,13026002,,0xa15fa422d3479a7637fc2323117f5563bef2bb4ff2b3bbbb34863c75c503c887-432,0xd133fd8e0607f5d82c91626140495ea0a31d0398,432,,4166625000000000000000,stakeDelegatedLockeds,,,,,,0x794fef54d19f457f1fef605681c6c07c9e22bbef,4166625000000000000000,1628980064.0,265.0,,,,,
,13026004,,0x4b57c33fdbdd5a333604b370e85c78008ebaed98349bd508b58f90330e04034f-137,0xd133fd8e0607f5d82c91626140495ea0a31d0398,137,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x07fbe572227f5ec81239868a6f1647b659ed7730,8333312500000000000000,1628980076.0,265.0,,,,,
,13026005,,0x15b7ff94dbdc52472961f9bbe3f23245175e5b18f533ed668dfa878ec5e9445e-442,0xd133fd8e0607f5d82c91626140495ea0a31d0398,442,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x85b603f6de9c22f3b7aa05aa9efd3de3318c009b,8333312500000000000000,1628980083.0,265.0,,,,,
,13026026,,0xbb495400682573c586db6e38ac854990f615fcf0cf5a4d3112a07eca9d4a0932-380,0xd133fd8e0607f5d82c91626140495ea0a31d0398,380,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0x26e2da35057946b4184600007f66834249779a91,6250000000000000000000,1628980306.0,265.0,,,,,
,13026033,,0xd4cf5efbbaafa44cc8abbe46d515a12aeb4fe574f9cee5fb6c4b2cddf130049c-462,0xd133fd8e0607f5d82c91626140495ea0a31d0398,462,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0x351074d6991f8d3e19201145860655370588f5ee,6250000000000000000000,1628980384.0,265.0,,,,,
,13026033,,0x59061401bc866e1ab218b09bf16d22bc479479a7a09a202e081d07701d088884-463,0xd133fd8e0607f5d82c91626140495ea0a31d0398,463,,10416625000000000000000,stakeDelegatedLockeds,,,,,,0x351074d6991f8d3e19201145860655370588f5ee,10416625000000000000000,1628980384.0,265.0,,,,,
,13026071,,0x44cf7efcb57a4e17d48dfd33a82732708fd9fb2d6ce8a0d579f32c8097754372-405,0xd133fd8e0607f5d82c91626140495ea0a31d0398,405,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0xc35c892fec7073cab7c23172368d4122bbb0d445,6250000000000000000000,1628980854.0,265.0,,,,,
,13026071,,0x9ff9e46a46413e186259728c68c7617d7d01c7a3905280108d39ff255386710f-441,0xd133fd8e0607f5d82c91626140495ea0a31d0398,441,,4166625000000000000000,stakeDelegatedLockeds,,,,,,0x3cf997103094c5436097aa6708894c36a0992b30,4166625000000000000000,1628980854.0,265.0,,,,,
,13026071,,0xfb6736546d601061623561682885c025080e95539858ae9461f6d22dc0655253-466,0xd133fd8e0607f5d82c91626140495ea0a31d0398,466,,6250000000000000000000,stakeDelegatedLockeds,,,,,,0xeb06b922769140d356be64f84810524e3157c10e,6250000000000000000000,1628980854.0,265.0,,,,,
,13026101,,0x4c16b617c1110b4c748be147c69b9858b677b49d9654a0a3a32480b32ed438d4-397,0xd133fd8e0607f5d82c91626140495ea0a31d0398,397,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0x59a8bd8cedc03a9859b365608250568c20958548,8333312500000000000000,1628981189.0,265.0,,,,,
,13026149,,0x0ec6333c9821db6c7dcedea0cea808aed577ecbe33cc34ef3ed21039d6c36063-355,0xd133fd8e0607f5d82c91626140495ea0a31d0398,355,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0xfc7759c0b4d5bf1fee3a7da7214570a809028d45,8333312500000000000000,1628981822.0,265.0,,,,,
,13026175,,0x9bef440d0d280f8b386ceefa76092fec123c0941a898afcd14eb787283e3a328-486,0xd133fd8e0607f5d82c91626140495ea0a31d0398,486,,8333312500000000000000,stakeDelegatedLockeds,,,,,,0xb0222aa7a81406a860255c780b5332057c53c672,8333312500000000000000,1628982057.0,265.0,,,,,
