,id,subgraphDeployment,fisherman,deposit,createdAt,closedAt,status,tokensSlashed,tokensBurned,tokensRewarded,type,indexer,allocation,dispute_time,dispute_days
0,0xfe748e4320d3346a18738b775520aa6a7f0f1d2b31af2c1da6cc56d1a2c98e48,0x500a8e47cbdeca7386448ae9e7d52578871b9942ebbef4892469da293bb661f9,0x992bb240b1ef27bc95a2e4767d9de6f8bf6d9632,10000000000000000000000,1620254498,1624924250,Draw,0,0,0,Indexing,{'id': '0x5a8904be09625965d9aec4bffd30d853438a053e'},{'id': '0x2a34c9fbd175361f7e0a197f0f1cf0b436531f08'},4669752,54.04805555555556
1,0xa3770bc7eb1097f6b7a806ee22b7221f7664da3195befa2a0d21b2fc57745795,0x500a8e47cbdeca7386448ae9e7d52578871b9942ebbef4892469da293bb661f9,0x992bb240b1ef27bc95a2e4767d9de6f8bf6d9632,10000000000000000000000,1620254826,1624924692,Draw,0,0,0,Indexing,{'id': '0x5a8904be09625965d9aec4bffd30d853438a053e'},{'id': '0x4b0ccf7e8e45549588d31b325de24a767fd9df28'},4669866,54.049375
2,0x6f6b765d937dbb774bbfce23309cd41658be4d39dea336c2729374eb3dd9d2b7,0x500a8e47cbdeca7386448ae9e7d52578871b9942ebbef4892469da293bb661f9,0x992bb240b1ef27bc95a2e4767d9de6f8bf6d9632,10000000000000000000000,1620254879,1624926091,Draw,0,0,0,Indexing,{'id': '0x5a8904be09625965d9aec4bffd30d853438a053e'},{'id': '0x3b1361093cb7b4a98c05a6455e2c76fd5099acee'},4671212,54.0649537037037
3,0x08e959b7cf82f4935a5063721d7b7a01a0b33ebf0c8056b4d7ce4d126e7049a3,0x500a8e47cbdeca7386448ae9e7d52578871b9942ebbef4892469da293bb661f9,0x992bb240b1ef27bc95a2e4767d9de6f8bf6d9632,10000000000000000000000,1620254993,1624479967,Draw,0,0,0,Indexing,{'id': '0x5a8904be09625965d9aec4bffd30d853438a053e'},{'id': '0x3a8dace06b3db1f870ffa9c2d0f50e4f7945abf6'},4224974,48.900162037037035
4,0xeb77920c7a47d56106b11c2ea979116cfa956573578c82feff36a1ca807faa96,0x500a8e47cbdeca7386448ae9e7d52578871b9942ebbef4892469da293bb661f9,0x992bb240b1ef27bc95a2e4767d9de6f8bf6d9632,10000000000000000000000,1620255065,1624921035,Draw,0,0,0,Indexing,{'id': '0x5a8904be09625965d9aec4bffd30d853438a053e'},{'id': '0xdc56c66b653aa668dd068ea438c9c7f6a3340852'},4665970,54.00428240740741
5,0xa8b6762193318dcd253cbe6426cf335a0b194c8b63e07cf5fd2911a63ab9d50f,0x500a8e47cbdeca7386448ae9e7d52578871b9942ebbef4892469da293bb661f9,0x992bb240b1ef27bc95a2e4767d9de6f8bf6d9632,10000000000000000000000,1620255239,1624926091,Draw,0,0,0,Indexing,{'id': '0x5a8904be09625965d9aec4bffd30d853438a053e'},{'id': '0x7ac5df68ed7f0980c91bceac750a7bb94f9cf89b'},4670852,54.06078703703704
6,0xf8ccaf6e7a1e9766ea5d77c24a4b17c84863e97f08f359f14bacdb1159a78736,0x500a8e47cbdeca7386448ae9e7d52578871b9942ebbef4892469da293bb661f9,0x992bb240b1ef27bc95a2e4767d9de6f8bf6d9632,10000000000000000000000,1620255363,1624926091,Draw,0,0,0,Indexing,{'id': '0x5a8904be09625965d9aec4bffd30d853438a053e'},{'id': '0xd3c9dc4a25e33e3c88355d47d1409e15c10e82fa'},4670728,54.05935185185185
7,0x2232bff35186ea2734e36126561196d0815449154a594ebeac86d9155cc24963,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0x992bb240b1ef27bc95a2e4767d9de6f8bf6d9632,10000000000000000000000,1620255494,1629774915,Draw,0,0,0,Indexing,{'id': '0x85fe868adf7f5950b052469075556fb207e5372d'},{'id': '0xcac11d8445765d0a81e53cef0df09c45b0ec2a29'},9519421,110.17848379629629
8,0x41e44fbcf77dd4c99ccfb254c278d68f385028cbe67b4652a81c048b1a732bb8,0x31edcacc9a53bc8ab4be2eeb0d873409da4c4228cb2d60e4243bd3b4e8af7500,0x992bb240b1ef27bc95a2e4767d9de6f8bf6d9632,10000000000000000000000,1620255589,1629774915,Draw,0,0,0,Indexing,{'id': '0x85fe868adf7f5950b052469075556fb207e5372d'},{'id': '0x249a6fbf13e761e5a465f30afa6eb4184c578f95'},9519326,110.17738425925926
9,0xa6e48245e348d1533e31cba5bac4da3125104c927c53b11fa99ab95a8ba15a27,0x949d775a90ef63b46d95fc90cf326dea9cceef9b3c4fcb04f9e16581dc7058ee,0xe3671ff90401c21e2bb55b2dfab4506cede113e5,10000000000000000000000,1627293099,1629409169,Accepted,29400814429489079062404,14700407214744539531202,14700407214744539531202,Indexing,{'id': '0x76e84025978a0c16fc7ba483718b667388f2973c'},{'id': '0x5037caea050b4dda604ef5efe908715e5cb71103'},2116070,24.491550925925925
