,id,signalledTokens,stakeDeposited,totalQueryFees,curatorQueryFees,totalRewards,endBlock,total_supply
128,128,0,1007478044823719670327600,0,0,1332544388949661231211799,12304102,1008470070.5776331
129,129,0,15278329015881591743043,8451386104318514474,836687224327532933,514574667484337654278583,12310748,1008521190.0318395
130,130,74880975000000000000000,121121513572158203199734,992100626205927472877,98217961994386819771,1048644107170007462567457,12317394,1008625333.1670907
131,131,1139112975000000000000000,245830976842505265441904,4279291089516087509722,423649817862092663441,1767583183883009577113619,12324040,1008798317.317282
132,132,1444426424999999975463324,3268341407858598338042492,1861738529865505105200,184312114456685005355,2296387798323114127128195,12330686,1008963014.2167146
133,133,0,43295258082687341293260,1460242350883067098238,144563992737423642631,550847595018314397925606,12337332,1009013940.1463969
134,134,0,8471992501200982189108436,713848022306189232183,70670954208312733945,927340127755010788081953,12343978,1009105064.2494024
135,135,0,12169830369061969354846,702227058862848076481,69520478827421959539,244266324186003488077968,12350624,1009127373.3845845
136,136,0,11498782981293381593472,387281913905388200528,38340909476633431853,348062380247517231999880,12357270,1009159793.1625754
137,137,0,19241251188672035785723,0,0,1379398357074545697058032,12363916,1009294289.8567708
138,138,0,95673300639555299746841,0,0,368309681430312571354091,12370562,1009329005.091769
139,139,0,17133051450025966721531,0,0,214566413473185666236500,12377208,1009348681.3052273
140,140,0,326913590525742807838910,0,0,923815028707020544955399,12383854,1009440803.9589609
141,141,0,2045064184343978238470451,0,0,331572327240922779135153,12390500,1009473739.842916
142,142,0,1721707743291890596836,0,0,243872868923658103260934,12397146,1009498045.6845511
143,143,0,138346233712379968773910315,0,0,215244257752965780976793,12403792,1009518251.2801462
144,144,0,143667827472115576000,0,0,200669193694409322645970,12410438,1009535997.3325876
145,145,0,149059455474783560734890,0,0,514739903339952546481969,12417084,1009579742.3658708
146,146,0,6544763564441988381955,0,0,87314362520571054819915,12423730,1009588156.1469077
147,147,0,199860077028062882212579,0,0,3029666082532911875567171,12430376,1009890860.6677458
148,148,103983750000000000000055,308760152465426323704118,0,0,909929137854315734904673,12437022,1009978666.9161057
149,149,0,11309025419307801681662,5814760000000000000,575661240000000000,588294573416018625925981,12443668,1010032344.9137515
150,150,0,2331372503183219745439,0,0,350507202428264891968398,12450314,1010067318.6478028
151,151,0,2983016651419349173135,458832804110936803,45424447606982743,847658711721566691453543,12456960,1010151619.7302191
152,152,0,200612371663121531653086,0,0,553888824602904028117965,12463606,1010196727.4542141
153,153,0,287345032027561634386163,56281620000000000000,5571880380000000000,900762587290459364430474,12470252,1010286673.326647
154,154,0,10091577656564832398598,0,0,354725842039701114386523,12476898,1010321406.55911
155,155,0,761569774966703436035,0,0,296162411869404064142930,12483544,1010350616.6257259
156,156,0,16027724201965711659636,24730807181914933911,1779642531009578457,358480552388392764284243,12490190,1010386143.8435397
157,157,0,11733257227728295279607,7443601003678978832,0,315343388349703805151775,12496836,1010417012.7332255
158,158,0,53590572940201961387,3591066044169025485161,212570032370876940480,603422792018319312461115,12503482,1010476918.4358512
159,159,0,792671220836971897093,0,0,110969626916679157110564,12510128,1010488015.3985429
