,id,blockNumber,signer,type,nameSignal,versionSignal,tokens,subgraphId,subgraphDeploymentID,subgraphversion,subgraphname
460,0xf3aa595065cb5fa66a90e83b0a8771fcfbc14a42d8523252d4a35e69572978d0-250,12790279,0x0ae3e9b076f0fa63a818e73e6b44231908629a9e,MintNSignal,47284049003435500790,47284049003435500790,26070052975923216654208,GLkfL4GEXKT1Vg3CGTrCdwr2UJ9w7u7vngJ8DoSmouFK,0x42ca391b2466a83fc073fa8743ba0df9802e99e70022bd3be5f62334bade8d83,0,USDC Protocol
461,0x06e119245c1a084664791fea68d24253fd970d8aed8865c6845df7c7c106cfb1-217,12790281,0x0ae3e9b076f0fa63a818e73e6b44231908629a9e,MintNSignal,98306851326800685418,98306851326800685418,25000000000000000000000,3caWu7riX9kGBe2zmXVc4V8vQQ5U1c3QAjzeSGNT7Jo,0xe6124100a73a72ba708b48e32b446800054d5fecb2bfa80b1746613b6e4c3653,0,Sushiswap - Exchange
462,0xf80094b9a075131fb9f357a4c50657012f1482a2c53100d5552917f7b84b6411-294,12790287,0x0ae3e9b076f0fa63a818e73e6b44231908629a9e,MintNSignal,78161905318926847182,78161905318926847182,26526633947093913735593,HsepfK5Go5Xgvy443MGXnw3D7BYgdP1DPkjxuKaxgjoQ,0x143db715c25f1e97631fd370a1db89108baace5ae71366da39fa44136b3567b1,0,Bancor
463,0xae975c2be29223f166978e52c0de4e0c38bbcaeaa9ea976858d19c020481a4e8-236,12790305,0xca85c97e49d1022cf095adeba300662dc590e13a,MintNSignal,1008733636645936598,1008733636645936598,300000000000000000000,CvvUWXNtn8A5zVAtM8ob3JGq8kQS8BLrzL6WJV7FrHRy,0x5502f6187f6f27c01f633ae4cc0187c5c5b47a7c8cf47cf2938683ef228ccb56,0,AAVE V2
464,0x6738af24ae9b11eed95176c6171df742926d856d536562cef59f645db57faf5a-301,12790317,0x0ae3e9b076f0fa63a818e73e6b44231908629a9e,MintNSignal,59999358915359913665,59999358915359913665,25000000000000000000000,3caWu7riX9kGBe2zmXVc4V8vQQ5U1c3QAjzeSGNT7Jo,0xe6124100a73a72ba708b48e32b446800054d5fecb2bfa80b1746613b6e4c3653,0,Sushiswap - Exchange
465,0xed0012cd00b944cb188022d058c6323e675825430d10880b6401b0db6311e25e-309,12790317,0x0ae3e9b076f0fa63a818e73e6b44231908629a9e,MintNSignal,71541351372740230724,71541351372740230724,26600000000000000000000,CvvUWXNtn8A5zVAtM8ob3JGq8kQS8BLrzL6WJV7FrHRy,0x5502f6187f6f27c01f633ae4cc0187c5c5b47a7c8cf47cf2938683ef228ccb56,0,AAVE V2
466,0x6f28cf54043a504f47dc538eb61433201f5abeb9c7afc927ee12dd9e431656d9-320,12790325,0x50725af7507a9e8c291b14d774a21a60c8226d78,MintNSignal,23426618364105126193,23426618364105126193,14240588990581739434861,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
467,0xb9d4784eae903af93db238a874aca32ee218edbfe55dfe9d6d9e544e676dff4e-232,12790331,0x4ffb72b66eba24521736924f87dfe10677d82286,MintNSignal,3754437995633079595,3754437995633079595,1056217419784540011340,EjtE3sBkYYAwr45BASiFp8cSZEvd1VHTzzYFvJwQUuJx,0x45a6851c2f977fc91a390eb6f4c67a035296581244bc83cf8b74c5371f438436,0,ENS Protocol
468,0x08450b55287b0f9043497b46fdc056ee9b534929a46e8cdd753a56639840e352-234,12790349,0x627aa01efeab43774fca38df3d08f62ac55b4302,MintNSignal,1061742218562035489,1061742218562035489,672079596243442435196,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
469,0xd168909ef3d80159c09cc6fc1f0fe7530a699acc345c89bc5f89a4d2fe196195-338,12790368,0xe3b8418775659a2a527781fd6bbd7970ed61a269,MintNSignal,1573070711102907753,1573070711102907753,1000000000000000000000,EN9rjKtzNitTEb5hgt8bmiyzzhwBpJrJaRihkg8Me8Rr,0xea0081b34c9d8ae0c52c2131711f093d33bd6efb8638f0a5bbc3da0a08462a46,0,Uniswap V3 Official
470,0xfce165cc2762b32e1fac40acfc406d5c93ef324900d4f35310a6cd8376350c4c-274,12790370,0x48111be7a42705edcd98cc499150d9cee5b426ed,MintNSignal,451606054479200509,451606054479200509,379860309478281493482,41LCrgtCNBQyDiVVyZEuPxbvkBH9BxxLU3nEZst77V8o,0x2aaeb45afa62af1cc8f6d61decd5249429e0aaed67996238adc2bfd396b5f715,0,UMA Mainnet Voting
471,0xfa75938b10548e88bf8f77deba3bd85c99fe883c63070fb137ee4ae27470382d-331,12790376,0x110772f7472b56a1ab844051260b9416fe30245b,MintNSignal,6128265505399757858,6128265505399757858,1000000000000000000000,S9YkK3CNAWmhrGztfGApaTmbjcmWftk2vjkzm4P4LmG,0x117e4340ed192c5c59a2fc5fef4568bfeab74577003c492cadd74ba2ca374461,0,Lend721
472,0xa45ff94857a353c496a9a4d36c88d396258a9cad1fd9a32116f2c3645764ab3c-326,12790400,0xcaff387ee01c8e7df17a4ba415f26899aab32b90,MintNSignal,17442286817915426102,17442286817915426102,15000000000000000000000,41LCrgtCNBQyDiVVyZEuPxbvkBH9BxxLU3nEZst77V8o,0x2aaeb45afa62af1cc8f6d61decd5249429e0aaed67996238adc2bfd396b5f715,0,UMA Mainnet Voting
473,0xb8b042bacaa14d4b9cdf2d39e2b803e2a6f72d66aabb0024b065bebfafb2591c-412,12790414,0xcaff387ee01c8e7df17a4ba415f26899aab32b90,MintNSignal,14646205227336360515,14646205227336360515,15000000000000000000000,FDD65maya4xVfPnCjSgDRBz6UBWKAcmGtgY6BmUueJCg,0xbbde25a2c85f55b53b7698b9476610c3d1202d88870e66502ab0076b7218f98a,0,Livepeer
474,0x7ac11044f6e32507cc7c6504351dc2e72c9f564e6910427da49906217e129fd4-45,12790422,0x4a905ce2d555752f0d906ffdf628b26ad64a741a,MintNSignal,19650840343996824331,19650840343996824331,6000000000000000000000,EjtE3sBkYYAwr45BASiFp8cSZEvd1VHTzzYFvJwQUuJx,0x45a6851c2f977fc91a390eb6f4c67a035296581244bc83cf8b74c5371f438436,0,ENS Protocol
475,0x7ccad0507b7e696b1ddb1861068f209a0ac346187cf3559caa462458e8e07e9a-43,12790427,0x97031e925daafd03f9c326e61da61b19fdc02f07,MintNSignal,98742088290657495087,98742088290657495087,10000000000000000000000,S72PSzjBWcjJCKi187GtQNqKbDk5hJSM35PxTQSQLAK,0x2f33513a1eafee12fd3f75bbe0c6a25348a74887b1e566f911e8cc55a04b9d70,0,PAX
476,0x7e80cffcfd6c3847321930a83b234f789c0f1db30467886858b20c035efa1197-91,12790434,0xd5285e60b8193d3eeb77efaad340b9a0f95b115c,MintNSignal,57382861669302460058,57382861669302460058,15000000000000000000000,S72PSzjBWcjJCKi187GtQNqKbDk5hJSM35PxTQSQLAK,0x2f33513a1eafee12fd3f75bbe0c6a25348a74887b1e566f911e8cc55a04b9d70,0,PAX
477,0x996572bd36c5594ba7f02ef61f809bc281f92afc2ee2030d3e8bf5c12501c922-160,12790443,0x76340a7c034195c61a04ca70c26fa40c53562925,MintNSignal,28604582059151704811,28604582059151704811,10000000000000000000000,S72PSzjBWcjJCKi187GtQNqKbDk5hJSM35PxTQSQLAK,0x2f33513a1eafee12fd3f75bbe0c6a25348a74887b1e566f911e8cc55a04b9d70,0,PAX
478,0x69cb9848b9b87f5fef625f4faddb9c3a5536f9c14b8c2db7d93a390435c210c0-362,12790481,0xe3b8418775659a2a527781fd6bbd7970ed61a269,MintNSignal,2737275570454459904,2737275570454459904,1000000000000000000000,HsepfK5Go5Xgvy443MGXnw3D7BYgdP1DPkjxuKaxgjoQ,0x143db715c25f1e97631fd370a1db89108baace5ae71366da39fa44136b3567b1,0,Bancor
