,id,createdAt,updatedAt,active,migrated,displayName,ownerId,version,subgraphDeploymentId,subgraphid,self_curation,self_curation_name
552,0xa508c16666c5b8981fa46eb32784fccc01942a71-3,1636345836,1645639619,True,True,Rocket Pool,0xa508c16666c5b8981fa46eb32784fccc01942a71,0,0x4fd7239c7738d7efe79cdfca8ce3ada9458eb1790f431f81b3f0ec819958c3a7,0xa508c16666c5b8981fa46eb32784fccc01942a71-3-0,False,True
553,S9ihna8D733WTEShJ1KctSTCvY1VJ7gdVwhUujq4Ejo,1636345836,1645639619,True,True,Rocket Pool,0xa508c16666c5b8981fa46eb32784fccc01942a71,0,0x4fd7239c7738d7efe79cdfca8ce3ada9458eb1790f431f81b3f0ec819958c3a7,S9ihna8D733WTEShJ1KctSTCvY1VJ7gdVwhUujq4Ejo-0,False,True
558,0x870b97ce052fa9a679dc9e3d3f93a101e6923297-1,1636605538,1645639922,True,True,TRLab-Mainnet,0x870b97ce052fa9a679dc9e3d3f93a101e6923297,0,0x6d2f4e0ec088fe8d59bbd92d365d1c0f02efa5e12e9cedd6fc022034fff24ab6,0x870b97ce052fa9a679dc9e3d3f93a101e6923297-1-0,False,True
559,5aZjVbuBBDRGCA1UAc1r1YM9Mki3U9bwrGRWXJxPBM8R,1636605538,1645639922,True,True,TRLab-Mainnet,0x870b97ce052fa9a679dc9e3d3f93a101e6923297,0,0x6d2f4e0ec088fe8d59bbd92d365d1c0f02efa5e12e9cedd6fc022034fff24ab6,5aZjVbuBBDRGCA1UAc1r1YM9Mki3U9bwrGRWXJxPBM8R-0,False,True
564,0x170e0516f858e187e43c50a926c5d22157991fa4-0,1637802657,1645639922,True,True,CryptoArt Ai,0x170e0516f858e187e43c50a926c5d22157991fa4,0,0x5312d840d5bd0871742565680135d84d1e447a0b309c7a765c3963db845ed328,0x170e0516f858e187e43c50a926c5d22157991fa4-0-0,False,True
565,A6ZsfMMsR263kAnFeDtvGzsoXpBuT1WdNwHitYecQQF9,1637802657,1645639922,True,True,CryptoArt Ai,0x170e0516f858e187e43c50a926c5d22157991fa4,0,0x5312d840d5bd0871742565680135d84d1e447a0b309c7a765c3963db845ed328,A6ZsfMMsR263kAnFeDtvGzsoXpBuT1WdNwHitYecQQF9-0,False,True
572,0xd09671619223b505418fbf63d180ccce52e2255d-0,1638185023,1645866314,True,True,Blocksquare,0xd09671619223b505418fbf63d180ccce52e2255d,1,0xc91fa0f948f22fc4665c0408e27ed81ac9d813c94c08a0ad3c40370add68e076,0xd09671619223b505418fbf63d180ccce52e2255d-0-1,False,True
573,FFszBuEbafneXy6LJ3fm9Vj4NCC77nVnhzehdn3vY5yW,1638185023,1645866314,True,True,Blocksquare,0xd09671619223b505418fbf63d180ccce52e2255d,1,0xc91fa0f948f22fc4665c0408e27ed81ac9d813c94c08a0ad3c40370add68e076,FFszBuEbafneXy6LJ3fm9Vj4NCC77nVnhzehdn3vY5yW-1,False,True
574,0x3f4e2cfe11aa607570e0aee7ac74fbff9633fa8e-0,1638213857,1648751272,True,True,orca-protocol,0x3f4e2cfe11aa607570e0aee7ac74fbff9633fa8e,5,0x30d1d5c9b8bd0f09746525d077d6d6a6a79af15ee7b164ef2defb8b31e407efc,0x3f4e2cfe11aa607570e0aee7ac74fbff9633fa8e-0-5,False,True
575,3d9m1BPre8pEknjPNMyMbNYYgb1vb672D9SSRm9n5a6s,1638213857,1648751272,True,True,orca-protocol,0x3f4e2cfe11aa607570e0aee7ac74fbff9633fa8e,5,0x30d1d5c9b8bd0f09746525d077d6d6a6a79af15ee7b164ef2defb8b31e407efc,3d9m1BPre8pEknjPNMyMbNYYgb1vb672D9SSRm9n5a6s-5,False,True
580,0xdeadc3c69e54d9108b40ca10540ea446f1f7481e-0,1638963984,1645640020,True,True,foxgame,0xdeadc3c69e54d9108b40ca10540ea446f1f7481e,1,0xc9091d02ad14984cb34b3e898cdbf082cc25c52fa93388fd1e7caa74ec5428ed,0xdeadc3c69e54d9108b40ca10540ea446f1f7481e-0-1,False,True
581,GNGbNnrJza5eUmfwDJiNp2B8J1XpCoMURJqtHjMkqaU3,1638963984,1645640020,True,True,foxgame,0xdeadc3c69e54d9108b40ca10540ea446f1f7481e,1,0xc9091d02ad14984cb34b3e898cdbf082cc25c52fa93388fd1e7caa74ec5428ed,GNGbNnrJza5eUmfwDJiNp2B8J1XpCoMURJqtHjMkqaU3-1,False,True
582,0x1cce53bb9562407a4a816d732584ebea4dabf71d-0,1639062748,1645639991,True,True,The Vampire Game,0x1cce53bb9562407a4a816d732584ebea4dabf71d,0,0x8aa1ea29d71ee04cbb899aead50ddae332482c74a510d81647cc01ddc7cfcfc2,0x1cce53bb9562407a4a816d732584ebea4dabf71d-0-0,False,True
583,BbHLyXNo879SmdszyQp5pYw2ED1XUXVGAYJzX5qxqVC5,1639062748,1645639991,True,True,The Vampire Game,0x1cce53bb9562407a4a816d732584ebea4dabf71d,0,0x8aa1ea29d71ee04cbb899aead50ddae332482c74a510d81647cc01ddc7cfcfc2,BbHLyXNo879SmdszyQp5pYw2ED1XUXVGAYJzX5qxqVC5-0,False,True
590,0xd9aa2a54853c717c9118377a0ef8efc3971bc0bd-0,1640273075,1645639922,True,True,Uniswap V3,0xd9aa2a54853c717c9118377a0ef8efc3971bc0bd,0,0x5996c27ecb26e11cb3f5c913f354a69cd7830301b5f0929211d39e51ea7a6d63,0xd9aa2a54853c717c9118377a0ef8efc3971bc0bd-0-0,False,True
591,J2rE1w6gd3GD5f8p73iGbRvA1KSWRUFuouBtdmPXNZeE,1640273075,1645639922,True,True,Uniswap V3,0xd9aa2a54853c717c9118377a0ef8efc3971bc0bd,0,0x5996c27ecb26e11cb3f5c913f354a69cd7830301b5f0929211d39e51ea7a6d63,J2rE1w6gd3GD5f8p73iGbRvA1KSWRUFuouBtdmPXNZeE-0,False,True
596,0xa508c16666c5b8981fa46eb32784fccc01942a71-4,1640580554,1645640020,True,True,Gas Tracker,0xa508c16666c5b8981fa46eb32784fccc01942a71,1,0xb2c29b0f2810d55ea14ad704566084d443d24fecacf2464a48f82a7e0de838b1,0xa508c16666c5b8981fa46eb32784fccc01942a71-4-1,False,True
597,4oZC8eETdHshzyMySbvaXmH8p44E6wCbEYsKaFuijhRK,1640580554,1645640020,True,True,Gas Tracker,0xa508c16666c5b8981fa46eb32784fccc01942a71,1,0xb2c29b0f2810d55ea14ad704566084d443d24fecacf2464a48f82a7e0de838b1,4oZC8eETdHshzyMySbvaXmH8p44E6wCbEYsKaFuijhRK-1,False,True
598,0xfc49aa70544a58be7a149bb67d279db3459b31f9-0,1640633332,1648038684,True,True,Dissrup,0xfc49aa70544a58be7a149bb67d279db3459b31f9,1,0x9d7dfb05d7d39f6ce34dc9e19eff804c2dce8dd863a02c14ea736c3d9753b2f3,0xfc49aa70544a58be7a149bb67d279db3459b31f9-0-1,False,True
599,BV7hZNWqngXKrWdnnvFvGc9YkSZAX6P4EdwPyyPVzBjC,1640633332,1648038684,True,True,Dissrup,0xfc49aa70544a58be7a149bb67d279db3459b31f9,1,0x9d7dfb05d7d39f6ce34dc9e19eff804c2dce8dd863a02c14ea736c3d9753b2f3,BV7hZNWqngXKrWdnnvFvGc9YkSZAX6P4EdwPyyPVzBjC-1,False,True
600,0x2c0a5ed29d463f6c6180ff4dadab248158b6da5b-0,1641180290,1645641068,True,True,Terraforms,0x2c0a5ed29d463f6c6180ff4dadab248158b6da5b,0,0xfec723122fdc2056492e28082cc338de22e20359583bf8e42eae461c4ef1fefb,0x2c0a5ed29d463f6c6180ff4dadab248158b6da5b-0-0,False,True
601,H6dHahSHWrwDhr7r6NLh9UbbBzJ6SVq2gSivhq9U9riy,1641180290,1645641068,True,True,Terraforms,0x2c0a5ed29d463f6c6180ff4dadab248158b6da5b,0,0xfec723122fdc2056492e28082cc338de22e20359583bf8e42eae461c4ef1fefb,H6dHahSHWrwDhr7r6NLh9UbbBzJ6SVq2gSivhq9U9riy-0,False,True
606,0xb8eb85e5e47561b3f345fc23a7ee9a1d6113f5d3-0,1641844575,1645639205,True,True,soundMint SubGraph,0xb8eb85e5e47561b3f345fc23a7ee9a1d6113f5d3,1,0x7aed920995cc697607d2b99e336057cc73df31ea7e31bfb5c233f2a0ba2edb70,0xb8eb85e5e47561b3f345fc23a7ee9a1d6113f5d3-0-1,False,True
607,HLDvk6DMYbTYDCy7Yc8aQUHWwUdn4UWjhZp91B5Qc1GV,1641844575,1645639205,True,True,soundMint SubGraph,0xb8eb85e5e47561b3f345fc23a7ee9a1d6113f5d3,1,0x7aed920995cc697607d2b99e336057cc73df31ea7e31bfb5c233f2a0ba2edb70,HLDvk6DMYbTYDCy7Yc8aQUHWwUdn4UWjhZp91B5Qc1GV-1,False,True
612,0x78352d404896602b1a5fe58781ebac4f6d7211c7-0,1642648660,1645640161,True,True,cnm-mainnet,0x78352d404896602b1a5fe58781ebac4f6d7211c7,0,0xb95e9bedc31f1642187b324df50529624ce4a908a95f23e0abb6861dcf372392,0x78352d404896602b1a5fe58781ebac4f6d7211c7-0-0,False,True
613,AbStLrNuVRr4BpqEbwdWKisS3SfZzFr1V14JHjnkPte1,1642648660,1645640161,True,True,cnm-mainnet,0x78352d404896602b1a5fe58781ebac4f6d7211c7,0,0xb95e9bedc31f1642187b324df50529624ce4a908a95f23e0abb6861dcf372392,AbStLrNuVRr4BpqEbwdWKisS3SfZzFr1V14JHjnkPte1-0,False,True
616,0x9fad2b66f68e48ff16e107849ed5504117f34bbe-0,1642993631,1645640020,True,True,nft-owners,0x9fad2b66f68e48ff16e107849ed5504117f34bbe,0,0xdc16ca0a80be35da04634253d20a3c63dbe549f387dea021923b9fad4d1a84a9,0x9fad2b66f68e48ff16e107849ed5504117f34bbe-0-0,False,True
617,3yuJrwpMiubZEJCBpqETEDobMYykYfwvDQZ5EkTVN5Nz,1642993631,1645640020,True,True,nft-owners,0x9fad2b66f68e48ff16e107849ed5504117f34bbe,0,0xdc16ca0a80be35da04634253d20a3c63dbe549f387dea021923b9fad4d1a84a9,3yuJrwpMiubZEJCBpqETEDobMYykYfwvDQZ5EkTVN5Nz-0,False,True
618,0x235a2ac113014f9dcb8aba6577f20290832ddefd-0,1643607016,1649688126,True,True,HaloDAO Exchange,0x235a2ac113014f9dcb8aba6577f20290832ddefd,1,0x3a7eb2c4be92ceb40402ba05a357ba291860c70626cb2afdefd59adff8519d10,0x235a2ac113014f9dcb8aba6577f20290832ddefd-0-1,False,True
619,GNWVrcrjYSszMk6zNrRBAnDCx3Mg6iSu7u5276VXShxP,1643607016,1649688126,True,True,HaloDAO Exchange,0x235a2ac113014f9dcb8aba6577f20290832ddefd,1,0x3a7eb2c4be92ceb40402ba05a357ba291860c70626cb2afdefd59adff8519d10,GNWVrcrjYSszMk6zNrRBAnDCx3Mg6iSu7u5276VXShxP-1,False,True
624,0xc07f09f2a03e2a3cac8295b233cb617ed710e698-0,1644589253,1646756923,True,True,web3Index,0xc07f09f2a03e2a3cac8295b233cb617ed710e698,1,0x1a7691a3613dd08a0653c2a0ac5d1d59684b2fd267a50eca1d0d5a73694f4109,0xc07f09f2a03e2a3cac8295b233cb617ed710e698-0-1,False,True
625,5WHJhK3TW4zAc3d3KaNXwmPjRAyRqibTqzFhiRrWVWWg,1644589253,1646756923,True,True,web3Index,0xc07f09f2a03e2a3cac8295b233cb617ed710e698,1,0x1a7691a3613dd08a0653c2a0ac5d1d59684b2fd267a50eca1d0d5a73694f4109,5WHJhK3TW4zAc3d3KaNXwmPjRAyRqibTqzFhiRrWVWWg-1,False,True
628,0xf3aad4a61424a35c3f08978b07a3bd28816b40b9-0,1644657933,1645640243,True,True,test-0211-ms1,0xf3aad4a61424a35c3f08978b07a3bd28816b40b9,0,0x0b8fbf1d5a9f99e0916ca00b05cb0d023702b1a555525c12179e739f331757a0,0xf3aad4a61424a35c3f08978b07a3bd28816b40b9-0-0,False,True
629,65hYnPUmRSTQcPVDj3TC6iZwUb1KThog4tyw9yRHESfR,1644657933,1645640243,True,True,test-0211-ms1,0xf3aad4a61424a35c3f08978b07a3bd28816b40b9,0,0x0b8fbf1d5a9f99e0916ca00b05cb0d023702b1a555525c12179e739f331757a0,65hYnPUmRSTQcPVDj3TC6iZwUb1KThog4tyw9yRHESfR-0,False,True
630,0xb9a9904ef43ea72814db004c24c08311257d9a52-0,1644741582,1645640161,True,True,openleverage-subgraph,0xb9a9904ef43ea72814db004c24c08311257d9a52,1,0x153ec9c2265b59a0d258f9e5b36452d0208889a5f933afa695bbb11f8be05948,0xb9a9904ef43ea72814db004c24c08311257d9a52-0-1,False,True
