id,blockNumber,logIndex,indexer,tokens,reward,type
0x1596590788e3b6464685e27ab099daa36f8bf9236153ee6ea8cde379bd2da3cf-48,13058230,48,0x76e84025978a0c16fc7ba483718b667388f2973c,29400814429489079062405,14700407214744539531202,stakeSlasheds
0x1596590788e3b6464685e27ab099daa36f8bf9236153ee6ea8cde379bd2da3cf-53,13058230,53,0x76e84025978a0c16fc7ba483718b667388f2973c,28665794068751852085844,14332897034375926042922,stakeSlasheds
0x1596590788e3b6464685e27ab099daa36f8bf9236153ee6ea8cde379bd2da3cf-58,13058230,58,0x76e84025978a0c16fc7ba483718b667388f2973c,27949149217033055783698,13974574608516527891849,stakeSlasheds
0x1596590788e3b6464685e27ab099daa36f8bf9236153ee6ea8cde379bd2da3cf-63,13058230,63,0x76e84025978a0c16fc7ba483718b667388f2973c,27250420486607229389106,13625210243303614694553,stakeSlasheds
0x1596590788e3b6464685e27ab099daa36f8bf9236153ee6ea8cde379bd2da3cf-68,13058230,68,0x76e84025978a0c16fc7ba483718b667388f2973c,26569159974442048654378,13284579987221024327189,stakeSlasheds
0x1596590788e3b6464685e27ab099daa36f8bf9236153ee6ea8cde379bd2da3cf-73,13058230,73,0x76e84025978a0c16fc7ba483718b667388f2973c,25904930975080997438019,12952465487540498719009,stakeSlasheds
