id,blockNumber,logIndex,indexer,amount,epoch,type
0x6516c48fa3f31be17cb22c3cccafee885cfa17fd34a77935ce388cfc8771cfc1-51,11480196,51,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,5110895537281289500000,5,rewardsAssigneds
0x992236469fc21cb51fb016a5fdfca21a8fd1e572659e187d437505ae1c3b8042-33,11480211,33,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,5160286425843754000000,5,rewardsAssigneds
0x194e67a51ffcf4c2a9d695bf252c88044749cf23865400b54af79285cd17b9e7-138,11480219,138,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,26420452586642620500000,5,rewardsAssigneds
0x68cd8214f6215d76c5baab459b7886cff78e436dd108e498ab496d5feea1b0a9-169,11480239,169,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,8657262789268595600000,5,rewardsAssigneds
0xda519af38be34b67bfd6e336c002b08101b35e14670723d8146d928fac3f700f-181,11480245,181,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,12277044340558029500000,5,rewardsAssigneds
0xdb0da55ce93fcfd8f36bac2aa6afb7e01d52b70915721d11ab3c507ed5d8e0c5-226,11481835,226,0x4fedde33607cfda2c82a999accb427d1170987d9,69578874871626528907744,5,rewardsAssigneds
0xfb662bd11427ed853cc19a1d66ab686111c650f263ad90e7d55b99e3d88cdeef-138,11481867,138,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,11245217839389243047580,5,rewardsAssigneds
0x02a532c1aac5cfe709b19c334e742c7c721e5aa349c54b457227061469521fcf-114,11481871,114,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,79000322109085104702444,5,rewardsAssigneds
0xa173a378a92e3ffde4717edd8db1bbbfa76f829c6b8c0f58e27ea1b6f334f2a9-157,11481872,157,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,78681945634908142661532,5,rewardsAssigneds
0x5e2c6c545e27880ec1fa025572bd084f10b8609332221b9f4cff6727c8b5afbc-228,11481916,228,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,140306842687766021538976,5,rewardsAssigneds
0xe3561a9ef4144d936a983254165d9aba2606948cc2635349f1866ddb9f048e30-261,11482008,261,0x4fedde33607cfda2c82a999accb427d1170987d9,70348494726247532890496,5,rewardsAssigneds
0x6369215c9d445a1f36e5a753ec2e282e2897072ee0a31dbde307acbc57028caa-50,11482491,50,0xf3f182e859f789af8d6c2223d15c691471c79a2b,1121228487129793975000,5,rewardsAssigneds
0x75ba43aa0c6ac6c02fd08633f7a5a8028951aaad08fe73a7b4d02b63e73203da-19,11482591,19,0xf3f182e859f789af8d6c2223d15c691471c79a2b,1129964536427132150000,5,rewardsAssigneds
0xc5c44794de8aec997862df6309faf44427b60860873d890c2aa1d5834b075b57-196,11482599,196,0xf3f182e859f789af8d6c2223d15c691471c79a2b,1132446452876357325000,5,rewardsAssigneds
0xef2f2af861a80196e55de4397368ad3d72544272b0255f52822ee708680747d1-126,11482799,126,0x72acbecf3013d7b27421185d3bf369520bf552c8,71162644085963,5,rewardsAssigneds
0x616ba2103c0cd194648759ae1f154c2201acb55fa4b44b5823837b98952e8fb6-240,11483036,240,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,122977519419146,5,rewardsAssigneds
0x2a147c2f6fb39344521bd20b2d0da0229a23fb366542eff32849ceee7e498ed3-131,11483099,131,0xcb22a8ce581d04fef99b81ec5a60725070a3e8c4,123476608298414,5,rewardsAssigneds
0xb26a079e952b9cda80b4f444c9e2c4105020234613c46f2c6e9d175a0b301417-255,11483403,255,0xb438830f11820a5e9cdde1363bc49bde2da67f1f,1540422039217462800000,5,rewardsAssigneds
0xdb8a3c254a8f5d3c5e19d105378465212d6ebcc4551a959842316c05ccf1236c-128,11483923,128,0x45874192929530cd4e3dd0624df05bee3c13974f,33837632638538313000,5,rewardsAssigneds
0xe8f07f146955827147736d4269780dce75cafd8b04a42135ad3c169174d28a88-41,11483988,41,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,174791821005930825450000,5,rewardsAssigneds
0x4e5d83781f864348aa09a627f069faa567b7503edf019402ba31c7a5d1ce1492-248,11484998,248,0xa959b5afe73c6faa803541b5c4edc0492dfda294,2037754814996150624000,5,rewardsAssigneds
0x146127be9056c6369310baf5d661d94c1f0cb8b3c2b339852a75d580736a5b97-216,11484999,216,0xa959b5afe73c6faa803541b5c4edc0492dfda294,2037765250596486984000,5,rewardsAssigneds
0x9977d6283c7347bf3a256a3792c686d57f911dc4bf8c49a8635cb5c297f216ed-170,11486647,170,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,37810500232191486929607,6,rewardsAssigneds
0x0ea3986c021f78ee35b347f5c9b7b1718b5c0bbf96197afa525fae39117dd9ed-80,11486655,80,0x0ceb7aa784616f4cd5d581ed5d1182bc4340b460,525826394562259000,6,rewardsAssigneds
0xaf4953bc3d589490029c2475b6a455e4989b93303e0df1a243e217041f37b681-232,11486657,232,0x0ceb7aa784616f4cd5d581ed5d1182bc4340b460,530082670191256000,6,rewardsAssigneds
0xed4567b62b6a0f09e1dd5c5fff0c4f1559466c8aad9f6dc443933576e673cabe-198,11486665,198,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,4299315777947968000,6,rewardsAssigneds
0x08536cb187c1bcf729294738d014bfc484133292dc87161227030a9eae809667-114,11486668,114,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,26381732043325393053999,6,rewardsAssigneds
0x0e84eefd549706cfb2d9eb870fd4f9094f6257cc04becb7bcf8b06cd17243071-252,11486669,252,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,25494839303727812415387,6,rewardsAssigneds
0x09648439bda9e1bca1a4a3e279472b32f50c4ccf7d037e896459669cdd2f2918-177,11486671,177,0xc430be492ddeb6e761dbbd0e08bafe99f5064d90,10663396911728065890000,6,rewardsAssigneds
0x42fc0ca5b82b9a2773762f2b01444cc033bb3d87ae58c9c2e08d90a5eb1873d7-220,11486671,220,0x7ab4cf25330ed7277ac7ab59380b68eea68abb0e,26234529693224212529763,6,rewardsAssigneds
0x7a5421be46b185a1457b9cc05aefd8ca95d86cacb2eabfa2d3c6f3f886978afb-112,11486672,112,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,8931857734994101814400,6,rewardsAssigneds
0x399d83fd14e0ab1ccaa51e9bb3b14358989a93346f47eb940b4281b2adb82bac-237,11486673,237,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,8362444607040629116800,6,rewardsAssigneds
0x736d252d494ae87a1edc7d5efac00e405660a73dcae644dc1b750e68a76fcfb9-67,11486675,67,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,8900776532796043920000,6,rewardsAssigneds
0x459291528aec921b55f4e90a76816b8623f61f9e9ee77b7a7ed4f7b8c77a1f7a-232,11486676,232,0x8e297141f9dc76f4d71741da1a1e47294cf0fde2,8992616923765371187200,6,rewardsAssigneds
0x26bb113f84f45124d15299f793c5be80b01b85d3a58ccaec3596130091648d29-126,11486692,126,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,10703194357119357000000,6,rewardsAssigneds
0xd12b35b3ed409a2535b308050622bf1d4157708e5149c187605eb041d9485783-171,11486694,171,0xbe9d7c691792937ca7e2535652886ff390cc5b86,3523169931384702000000,6,rewardsAssigneds
0x94da64ff98e3d9c3651e1432a6a100619117953d7ca68b88646750e6621d06bb-161,11486724,161,0x4fedde33607cfda2c82a999accb427d1170987d9,21996032876661941768916,6,rewardsAssigneds
0xc0f238ccb1209bc4f2a469b016ab4da24d6e5c073048624a1f01a60dc17a1ab0-198,11486727,198,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9,1507903609499147500000,6,rewardsAssigneds
0x3b7248fb61fea233c438d68b76950405be7bbdca420783d223c7fba1840857a0-206,11486729,206,0xbf4af02f7855c7ead52d037349b7a76e48ed47a9,1506063161027016500000,6,rewardsAssigneds
0x3fa8a00f9ef4d9cdc70bb1cda934cf8a239b6237bc0a57aa3fd171da55a7c6ff-203,11486768,203,0x45874192929530cd4e3dd0624df05bee3c13974f,5695937008301698000000,6,rewardsAssigneds
0x3fc2ea44f1f451b9ffc6778d2b413e7529c2fb80a4732bbdf78e5ff804fb9cf0-210,11486813,210,0x720a98087160bfdb282f695abe6f9ac966b03d43,6717421299946929000000,6,rewardsAssigneds
0xfd7f1b890521f24d0ac04084ad607cda2e019557d5e5a5f7c483b44f4505997a-229,11486813,229,0x45874192929530cd4e3dd0624df05bee3c13974f,5734541954458174000000,6,rewardsAssigneds
0x727efde7dcd8cbd208566c26f12e3161134121f4dc3c7d69c205f989723db62a-158,11486840,158,0xf3f182e859f789af8d6c2223d15c691471c79a2b,5027403524541898500000,6,rewardsAssigneds
0x0749b07bf0f3c5c7974c0b99fe8042b3e00c00238285792041ca24885d0f5e33-99,11486842,99,0xf3f182e859f789af8d6c2223d15c691471c79a2b,5012041217046278400000,6,rewardsAssigneds
0x4f9c9dbe308f7a58355bd791146c915cb70e87acabc9d529849dea8723810a80-107,11486960,107,0xbfe2a198cb0cdfb50fb03cd932c7387ddb0d25aa,75483380627631845423888,6,rewardsAssigneds
0x17a3cdea924f9c27c5708e2208391ee2faa8ae6758de3b1a01f2217096df798d-242,11486964,242,0x62a0bd1d110ff4e5b793119e95fc07c9d1fc8c4a,5130828579642637500000,6,rewardsAssigneds
0x5f266568f4cf1f834f8500107d966a70ab14e98b8ebef1358c254808ab47bc79-276,11486987,276,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,1706625110160175081056,6,rewardsAssigneds
0xfdf92d19c86dce1dd1cf4cb97b478550efb61d0231cdd7eff6a024407fe15cbf-177,11486989,177,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,15656685009239441762858,6,rewardsAssigneds
0xbe22e7b56fde533627dae29a19efe6541859694042961d2cce7535f8d7fe7704-177,11487004,177,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,15923924977256434231364,6,rewardsAssigneds
0xf8326596f21da4ed2d7b6fb267e032d3295e7563d5f2aced88938f3f0033ef7b-253,11487006,253,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,16143185918506680782756,6,rewardsAssigneds
0x8f085e8b1e9e4002db7717ffba7ca371595b387a22d6e4d196c43ba8e2370696-190,11487007,190,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,16069814241291556993472,6,rewardsAssigneds
0x14c9c5aa2d526ec3b3b6726152d4dda6bf5d3d62a2aa3a70e81471b9e9e9be08-109,11487009,109,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,15872339737947270118608,6,rewardsAssigneds
0x6614d52825308ff7d6c8eff79149e513053478e5629febf6598a895f4b9c6bad-186,11487011,186,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,1798177766551137469764,6,rewardsAssigneds
0xce3505143c715330f5d07b5029f6cd932852a5c8da839008e945065015eb3351-140,11487012,140,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,15886535783843485680276,6,rewardsAssigneds
0x62b4f08fbfe60c368437b23cb9cfd34fb2aef4c441db77a1255d21842b390449-245,11487015,245,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,16029552960983121190663,6,rewardsAssigneds
0xf5c7fd046af8be1db781cbc80659a1b3883c4d4bdb97f1b56e8b1ef334fd1dd3-125,11487017,125,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,16101347100605157909763,6,rewardsAssigneds
0x5d21f108bb6a83c7ce9ca6dcdfbe3240a29cb98001ff450dca1ee66c21012dc2-141,11487018,141,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,217411635135821,6,rewardsAssigneds
0xd4fec98b7cb4690b51ecacad3606afcbbfa9af8d455082581561692b86c13c21-116,11487021,116,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,16123078591731508230125,6,rewardsAssigneds
0x5479395daebe16efb2b63499326f7884a81aa15111c8f7b1f10281e8cc04a0f8-357,11487036,357,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,15873000490420966321331,6,rewardsAssigneds
0xe802881ec0ce862ccfd01565e74dd7c6dc9baece14a3e1219ab162dc77d15955-212,11487037,212,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,60140546072461056,6,rewardsAssigneds
0xda7d781ea2e1db27c673a937865e53f9b6540f11634ccd5d14a842b825bef452-213,11488590,213,0x55f3dcdaf0b73f7f0c761a9070d8865f37986e2c,5927696787900709600000,6,rewardsAssigneds
0x3ebb193b27cb1beb980e4ed48cbc28ce1c0ac2bc75e84a2a6280b4b48d204c74-309,11488593,309,0x55f3dcdaf0b73f7f0c761a9070d8865f37986e2c,6873158327507435700000,6,rewardsAssigneds
0xfe9a98bba5093c03a073809d286c08aeefe05ed64d3d2c3ceea861b625e27170-122,11488732,122,0x27ac40b9198659ce99eef1890d853a40560c9425,7137701843192702100000,6,rewardsAssigneds
0x0aea8a4f8ce7f29ac07aedf108775ab46a5ded3d0c556e50d1ef8d4c35a41bb1-138,11488733,138,0x27ac40b9198659ce99eef1890d853a40560c9425,7104469692043031400000,6,rewardsAssigneds
0xfcb92581d0d8860d91960d581f0b85ce5e746813e7d9889c2a83adeb49024b23-129,11488918,129,0x19fbac0891042be71ce60321a17720358575f580,5421358341802365750000,6,rewardsAssigneds
0x93ecb4ed3c010a3631cb75e19088e408514020713bffc7bb92186c842d5d35a2-159,11488919,159,0x19fbac0891042be71ce60321a17720358575f580,5387344256431643250000,6,rewardsAssigneds
0xf0e91c99b114aa8fc1dfc6700075814322b668111782f58ce2db7d64d816d4a4-219,11489203,219,0xb438830f11820a5e9cdde1363bc49bde2da67f1f,6955248735275792280000,6,rewardsAssigneds
0xe34b0681d29a5c8cbb60c833457510d59b37ac51d44b537280bdcb8ed53c8f82-167,11489204,167,0xb438830f11820a5e9cdde1363bc49bde2da67f1f,613379711042029300000,6,rewardsAssigneds
0xc763f51b789f90129c615571f2e8d8878fb904158a64b70a800476aa4d88d619-130,11489252,130,0x1692a8710dcf0dce24bd34c028479176b97ee9ef,34411871878038,6,rewardsAssigneds
0x6e8882163e01cf1167cabe5744c189399fe25e56e8039f592ca66d80efd6d29c-151,11489955,151,0x7ed9d36539f349808c42187ed4e1753d5947db7a,7803909826939916250000,6,rewardsAssigneds
0x58e380f62635c6affd30a81662792f72d8536b8331464deb274449f0df1db5e8-181,11489958,181,0x7ed9d36539f349808c42187ed4e1753d5947db7a,721723247219455000000,6,rewardsAssigneds
0x6f4144d0f4cf7e716a68599a4dfede1ce22dc0585e3e1853694edeaa72b0fe48-283,11489959,283,0x7ed9d36539f349808c42187ed4e1753d5947db7a,7782154960580917400000,6,rewardsAssigneds
0x91928c5a65bf5185247e040a10d72ac5e669f54fe6ee15bddc9e04e20a50999f-302,11489963,302,0x7ed9d36539f349808c42187ed4e1753d5947db7a,779061753438382050000,6,rewardsAssigneds
0x67c7698eabf6b4c1fbf127a0b3ee4a329135657ef1cb4f21df36f55bb4a64f1a-159,11490474,159,0x72acbecf3013d7b27421185d3bf369520bf552c8,15364232757065265450000,6,rewardsAssigneds
0x11f6639087d701597335fccb3bb4541135ff28716fca4f4d4279d9ffe382a42b-288,11490525,288,0x7fd833cf8775e9c3524b8be925723345164964be,20648278435253997000000,6,rewardsAssigneds
0x7b3b90e299545370b1d0268f692aa08066270cf88da87bffa66f688addc84c47-25,11490527,25,0x7fd833cf8775e9c3524b8be925723345164964be,21130621267084905000000,6,rewardsAssigneds
0x62046c04959ba057d0e0ec98fcae078c1eca371d8cd6c894cb78a5b200d1d8f0-50,11490556,50,0x48b5687f0595e2a4d581dc72305fbae214345d07,17897211259241704000000,6,rewardsAssigneds
0x36bb02c27838d2f4ccf6badc235fe72d7e3df546e475fe16fed2de1e7afcac53-175,11490641,175,0xc36157756ea4838cf882edab9dd94325c38f2edc,7999441357613267700000,6,rewardsAssigneds
0x0668c32e6b55f06ae8d5d51ae580ea148c572ce8ecf02f6e10fa4c647f55170d-253,11490642,253,0xc36157756ea4838cf882edab9dd94325c38f2edc,7989268545085594500000,6,rewardsAssigneds
0x2684edca28e216054b1718a4de2651ab128641f7d5f35b7362ddd59d7237647b-63,11490731,63,0x6879bbfcff0e54e62b899681ea52e74bd9b29fe4,33375654111212,6,rewardsAssigneds
0x5f00b5f30fc40657c3cff9a0d283b242a660ac245f9dcc2c810eaa4a6bcb84f9-119,11490733,119,0x6879bbfcff0e54e62b899681ea52e74bd9b29fe4,33214917447751,6,rewardsAssigneds
0x4e49eeeea611aec2d657b4df1f54c25ad935e4efa38c2757d06f3c23c7e26d7f-145,11490736,145,0x6879bbfcff0e54e62b899681ea52e74bd9b29fe4,32415978782759,6,rewardsAssigneds
0xdb6ff374979c2a789ec0d474a04532aba424aa56c60b406c916bb0a16b08db97-79,11490739,79,0x6879bbfcff0e54e62b899681ea52e74bd9b29fe4,33517099722005,6,rewardsAssigneds
0x91a710b265c821e4f909c1048de5d4bbf7ceccb010faaf7850902c6f47355ddb-156,11491590,156,0xb3e2fe4e6673709613c22c63d3d7326f3bfa15cc,5193094941183368800000,6,rewardsAssigneds
0x747e04097a8595064ab3b521c26a8461e2c1d4e24f13572f25d24c146e7d731d-247,11491594,247,0xb3e2fe4e6673709613c22c63d3d7326f3bfa15cc,5195904675113993400000,6,rewardsAssigneds
0x07644fe1493d0fc368bbf633a055eb093b57837d5ba12fbea554ba96dab46e69-135,11491852,135,0xd7205e8054a6778e383d9afde80fd702db41c7fd,24305566308373239000,6,rewardsAssigneds
0x0d5803910930e36f249f190ea77db97ed7bc6f33f4b6bafd8a4dd83cf8592422-140,11491854,140,0xd7205e8054a6778e383d9afde80fd702db41c7fd,24800762447075133000,6,rewardsAssigneds
0xed02003dde6b63e6f54394f8cc90e53d9fb4880a66a65a22210df13e4f8864e2-154,11492010,154,0x03db85e86779febdd96d96ba43ac48382fb1a88d,2106823863590755000000,6,rewardsAssigneds
0xdc0f20c6e3b79c6652102bbdca0af3f55cc6f3159c32c0ddff32627c069ea5fb-194,11492014,194,0x03db85e86779febdd96d96ba43ac48382fb1a88d,2115317168485035000000,6,rewardsAssigneds
0x764926464cb86f8da7b1b7a8abe9cb6b7845d153c49a266d8b70e7e1d0b52abe-155,11492017,155,0x03db85e86779febdd96d96ba43ac48382fb1a88d,2105766223506238000000,6,rewardsAssigneds
0x2e93ad9cf166b5a40a0431eca0e3ff183288e42637de0efc2696da7d4510df61-373,11492020,373,0x03db85e86779febdd96d96ba43ac48382fb1a88d,2090259402083314000000,6,rewardsAssigneds
0xca0d29e4eb4c68f9ff70d4d01e55d07232c8350022c48b3465f999840891de20-208,11492023,208,0x03db85e86779febdd96d96ba43ac48382fb1a88d,89074941381564,6,rewardsAssigneds
0x1d3c41d2cda0fed200fc0216dbd9f85ca84d821c708399139fcd5bb06dc5a098-196,11492024,196,0x039b47ea916783f78d943d94de700a17f40ae6d4,22965281238593086500,6,rewardsAssigneds
0x45ca87c0ce71030cce47561a91f4f5b6e76d9bf01c9fe388c08ddb462307602f-179,11492034,179,0x039b47ea916783f78d943d94de700a17f40ae6d4,2974483748863521600000,6,rewardsAssigneds
0xc08d8c0879c2997165a4b50d0704403e1facf08d7751b05b130aabedf3956a60-175,11492034,175,0x03db85e86779febdd96d96ba43ac48382fb1a88d,88991527129107,6,rewardsAssigneds
0x9d8c70d0fe4e5c86d93181a920296d8d9f183fac96884c9fcf3d495929fedf26-237,11492036,237,0x03db85e86779febdd96d96ba43ac48382fb1a88d,2096540488440509500000,6,rewardsAssigneds
0x8202721e6126708daac0d79c1e85634247211ecacf3728dffda565ce54cc0a4c-49,11492989,49,0x7697a886fc3b71a8a88487019337a6bbe5838f1a,25649425716824683387827,6,rewardsAssigneds
0xce3f8f9655bf2d77443dc2be28725b6177910ecb2d2015bd1daba498e57895ff-317,11493100,317,0xa3276e7ab0a162f6a3b5aa6b3089accbaa65d12e,36917723788323977079988,6,rewardsAssigneds
0xe3430759079c59c15a7aad017e634b1f365e565b9a97cf6e8f903ff8c37ad0e3-137,11493298,137,0x1a99dd7d916117a523f3ce6510dcfd6bceab11e7,8186422360207129644700,7,rewardsAssigneds
0xe641a0d51642ec4a10c444bad8739c9484a44d9b4ec739c6e6ef96442e15e936-253,11493304,253,0x1a99dd7d916117a523f3ce6510dcfd6bceab11e7,2317480247767638566845,7,rewardsAssigneds
0x9695a1ebd77806934ba5e4668f0f8a93273624297de4b95e237dc80e87c40118-22,11493308,22,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,13734869614344543000000,7,rewardsAssigneds
0x91a833ce4013a018a1914682fa36f7e4e52eb11893c511784137ed504b914498-45,11493312,45,0x4167eb613d784c910f5dc0f3f0515d61ec6ec8df,13735905424877769000000,7,rewardsAssigneds
0x602354ec9cf2be46f3eae1625add4796815f794612ed09271ebf30cfc411f3c4-10,11493314,10,0x1692a8710dcf0dce24bd34c028479176b97ee9ef,4407201965510169900000,7,rewardsAssigneds
0x3396e88751378a123fab505200c381b213cc6c39b68d406dc558fa858b41dbe6-314,11493318,314,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,391867010806525654050,7,rewardsAssigneds
0x79e099529ae8475af8da6c57cd253e2b31de8af6d6be3db3d218da21a8d9b4cb-190,11493319,190,0x63c560997b8338f2b033f3ffdcc0f7c680feec45,2580228971129789151200,7,rewardsAssigneds
0xc99216c5cacceadbcdd6f6ca33cbe29250887b4439f3c7f153ab84f65786ff85-194,11493319,194,0x671bc7a0ffa02b0ee90ee03bcd11915df011503a,6396470856976034800000,7,rewardsAssigneds
0x14e2acb663f424ed19daf1680acd243deb0bc20c299a52c3ca290d2ac97638a6-56,11493322,56,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,40019069734585439310540,7,rewardsAssigneds
0x59ded6a8cff2b5b035d6045d3ea502deec3374e3a6f5841fb7da1e40959a22cc-140,11493326,140,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,5031386290828523091294,7,rewardsAssigneds
0x10452be730c24dfdf300785c5e8d1250df83fbd79b3a5750ca222e083f6e4049-40,11493329,40,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,40035567245205131231580,7,rewardsAssigneds
