id,blockNumber,logIndex,eventTime,indexer,delegator,tokens,shares,until,type
0x08614fedf4f2588719d337360c6f065ce7f2c360cabbd7e7b261bf3f28eae4e0-364,13204478,364,1631363909,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x52f00b86cd0a23f03821ad2f9fa0c4741e692821,3105904581149381700215,2858661080243323673045,292,stakeDelegatedLockeds
0xa9d49b4eb8f828d3f314a10d8d4ae36d0b7c272d36df89df16b50910efc6154b-179,13205022,179,1631370974,0x34f38671e9ffb8464a268752680444feb8139feb,0x13b5ea12da65161e2289de15b2f9cd323f44db3e,6842231346466897989116,6573618802187480422288,292,stakeDelegatedLockeds
0x3a475c8000659abe50c6293753b2afdcebeb015ef0150f8529201dc009391f44-53,13205251,53,1631374092,0x5a8904be09625965d9aec4bffd30d853438a053e,0x49966ce3d059f89d1e92389e53a618a13b491e5a,1001713255940929992795,919002158360416632821,292,stakeDelegatedLockeds
0x4bd3b4b4db3decd4d1924f478d3996ac63582daaac3ca737607302ece5fc88ec-394,13205280,394,1631374460,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x6a559073997303f5696561bca34474d397489099,2500000000000000001360,2300989136621703420288,292,stakeDelegatedLockeds
0x5c00df2a4e7a41f8d397c3c35da2124a61ca3b82ab220fab9d0f2c7e20f989c0-245,13205391,245,1631375797,0x5a8904be09625965d9aec4bffd30d853438a053e,0x029c5aeea06c2bfe218c6c71ca6b04f54996388f,135153000000000000070228,123993466166339406194289,292,stakeDelegatedLockeds
0x46bc5bf80da5c5f5818e1bbf2467ddc48437864e401764900c2fa70ba0ff534b-600,13205953,600,1631383221,0xd9c7cdf09d868467d9f94f885dd68e850e278118,0x367430635d87d462e923ddbf1704635dd8859475,10080270248120250222496,8421319910524091452720,292,stakeDelegatedLockeds
0x0d7bc784b50ec598e7c6febb99fea8289e73375a3b1cfbcf0cb765c86be0e0a5-231,13206434,231,1631389815,0x5a8904be09625965d9aec4bffd30d853438a053e,0x9237a9921f663ca4fc224cd8de3c4d858259a3e8,1215843638148936515968,1115451873139176870253,292,stakeDelegatedLockeds
0x50ab018af0353949531160ce1efc72e671622d20e8e096bbb9cd383aa51d5604-160,13206888,160,1631395652,0x5a8904be09625965d9aec4bffd30d853438a053e,0x2b8bc65e85b7d337caa46c205ca8efb57a214acd,554310916962322795326,508541667058817366556,292,stakeDelegatedLockeds
0x6396327b32e1f221e45088ac3aa674f2301ea63dbb6211d4986a72ff4c988c5f-927,13207033,927,1631397768,0x9238584c74e5fa445a8f72a4d4ef4699dd783852,0x3c7632411d660975484954b053c1f279955354d9,8062629369212477685466,7277335505919824513056,292,stakeDelegatedLockeds
0x80ca3a08d5fdc4bc354edcb0d02753c5316ab87097c7d387da3f6ca12ebbd336-594,13207633,594,1631406102,0x5a8904be09625965d9aec4bffd30d853438a053e,0x5f4c648a0805d588cff9ab8a4ac85748ffab3759,898445210755818764397,824260917938642065384,292,stakeDelegatedLockeds
0x895bd4f3097ea8cd2fb27587d7ab746cef3f0ff3e3c4ff23d25d2bfcf6354529-218,13207682,218,1631406681,0x5a8904be09625965d9aec4bffd30d853438a053e,0x8f0e53a242732ccbed4285dc060ea0f90e2d1580,5121643763303300743322,4698751508891338338043,292,stakeDelegatedLockeds
0x2eb17297ac6aa6f76580fbd5813dd7b770bd4037d5264bcca4b1d232aca2f751-222,13208869,222,1631422246,0x7b8f93130b7c610fb102f1e82e23ad978ed81702,0x9da073d804957fb65bb03b4576b10b04c681a61a,263421004858974235566,142842301610656068460,293,stakeDelegatedLockeds
0x9b068ab5076d8e2fa9a915c6cb82976a35a9afa5a1ce6ab33b9d174c3505c0aa-59,13208959,59,1631423237,0xb06071394531b63b0bac78f27e12dc2beaa913e4,0x6f583a3dc1176a7858c49459a215106fb21dd339,3128531183736467839977,2879486506943940368116,293,stakeDelegatedLockeds
0x4f0f102ff0a02c5d3f92b0cb395b86fcce1cafacb75bb85dd2fde50e93446d2c-149,13209245,149,1631427147,0x7ed9d36539f349808c42187ed4e1753d5947db7a,0x3bd2d220e998c6f3d0b8847613d85d06f8e313ef,5208000000000000000309,4662533765603037061840,293,stakeDelegatedLockeds
0x71e7770562467cef03f231852c8f2f9c883378475cea8204ab051ba652eaba3b-592,13209284,592,1631427630,0x720a98087160bfdb282f695abe6f9ac966b03d43,0xcd080d783e5b3aa581b8fed1ea25f0a602027dd5,5208000000000000001128,4819769358247933067087,293,stakeDelegatedLockeds
0x15fb8378c143c99d90d56df500672953ead096d4d654e101686928c6c9561fee-295,13209706,295,1631433225,0xd9c7cdf09d868467d9f94f885dd68e850e278118,0xba03b1f65bfda09b87e6feb6b1cfa2215c7712d9,2407241033317042366992,2011071761402796554359,293,stakeDelegatedLockeds
0x7bacca91d9fc8cf75a7f21f422817c509a1a103311091e3a4a34a0687584451b-112,13210256,112,1631440647,0x8d632dfc2454d624910fe982e85a5b15d2ae93c5,0x048046035edd27e1c91284d6a4ca419ca95c1af9,6259001629138622159638,5951547194453460807009,293,stakeDelegatedLockeds
