         2900107660 function calls (2375386070 primitive calls) in 2180.488 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     46/1    0.000    0.000    0.030    0.030 <frozen importlib._bootstrap>:659(_load_unlocked)
     44/1    0.000    0.000    0.030    0.030 <frozen importlib._bootstrap_external>:844(exec_module)
     44/1    0.006    0.000    0.030    0.030 {built-in method builtins.exec}
        1    0.000    0.000    0.030    0.030 run.py:1(<module>)
        2    0.000    0.000    0.027    0.014 execution.py:1(<module>)
     1529    0.013    0.000    0.027    0.000 subgraph_behaviors.py:35(allocation_closed_events)
     1529    0.013    0.000    0.027    0.000 subgraph_behaviors.py:5(allocation_created_events)
       69    0.025    0.000    0.027    0.000 {pandas._libs.lib.maybe_convert_objects}
        5    0.000    0.000    0.026    0.005 construction.py:875(_finalize_columns_and_data)
        5    0.000    0.000    0.026    0.005 construction.py:955(_convert_object_array)
        5    0.000    0.000    0.026    0.005 construction.py:977(<listcomp>)
       36    0.000    0.000    0.026    0.001 construction.py:971(convert)
        1    0.000    0.000    0.026    0.026 __init__.py:11(<module>)
     1529    0.012    0.000    0.026    0.000 delegator_behaviors.py:13(undelegate_actions)
     1529    0.011    0.000    0.025    0.000 delegator_behaviors.py:6(delegate_actions)
        5    0.010    0.002    0.023    0.005 {pandas._libs.lib.fast_unique_multiple_list_gen}
    77979    0.023    0.000    0.023    0.000 __init__.py:146(<lambda>)
   162074    0.021    0.000    0.021    0.000 __init__.py:50(<lambda>)
        5    0.020    0.004    0.020    0.004 {pandas._libs.lib.dicts_to_array}
        1    0.000    0.000    0.019    0.019 pools.py:8(<module>)
       51    0.001    0.000    0.018    0.000 subgraph.py:16(ROI_indexing)
   129965    0.018    0.000    0.018    0.000 utils.py:27(engine_exception)
     1529    0.003    0.000    0.018    0.000 subgraph_behaviors.py:41(close_allocations)
       51    0.001    0.000    0.017    0.000 subgraph.py:20(ROI_query)
        1    0.000    0.000    0.016    0.016 __init__.py:9(<module>)
    25993    0.015    0.000    0.015    0.000 simulation.py:57(<dictcomp>)
        1    0.000    0.000    0.013    0.013 pp_helper.py:9(<module>)
    26067    0.012    0.000    0.013    0.000 construction.py:862(<genexpr>)
        4    0.000    0.000    0.012    0.003 __init__.py:172(create_matrix_field)
     2552    0.012    0.000    0.012    0.000 delegate_front_runner.py:51(<listcomp>)
     29/5    0.000    0.000    0.010    0.002 _decorators.py:302(wrapper)
       44    0.001    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:916(get_code)
44871/44596    0.010    0.000    0.010    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.009    0.009 __init__.py:115(get_final_results)
